run,frame,clusters
1,50,8
1,100,7
1,150,8
1,200,6
1,250,5
1,300,4
1,350,5
1,400,4
1,450,3
1,500,3
1,550,3
1,600,3
1,650,3
1,700,4
1,750,2
1,800,2
1,850,2
1,900,2
1,950,2
1,1000,2
1,1050,2
1,1100,2
1,1150,1
1,1200,1
1,1250,1
1,1300,1
1,1350,1
1,1400,1
1,1450,1
1,1500,1
1,1550,1
1,1600,1
1,1650,1
1,1700,1
1,1750,1
1,1800,1
1,1850,1
1,1900,1
1,1950,1
1,2000,1
1,2050,1
1,2100,1
1,2150,1
1,2200,1
1,2250,1
1,2300,1
1,2350,1
1,2400,1
1,2450,1
1,2500,1
1,2550,1
1,2600,1
1,2650,1
1,2700,1
1,2750,1
1,2800,1
1,2850,1
1,2900,1
1,2950,1
1,3000,1
2,50,10
2,100,9
2,150,9
2,200,9
2,250,7
2,300,7
2,350,7
2,400,6
2,450,5
2,500,3
2,550,3
2,600,3
2,650,3
2,700,3
2,750,3
2,800,3
2,850,3
2,900,2
2,950,2
2,1000,2
2,1050,2
2,1100,2
2,1150,2
2,1200,2
2,1250,2
2,1300,2
2,1350,2
2,1400,2
2,1450,2
2,1500,2
2,1550,2
2,1600,2
2,1650,2
2,1700,2
2,1750,2
2,1800,2
2,1850,2
2,1900,2
2,1950,2
2,2000,2
2,2050,2
2,2100,2
2,2150,2
2,2200,2
2,2250,2
2,2300,2
2,2350,2
2,2400,2
2,2450,2
2,2500,2
2,2550,2
2,2600,2
2,2650,2
2,2700,2
2,2750,2
2,2800,2
2,2850,2
2,2900,2
2,2950,2
2,3000,2
3,50,7
3,100,7
3,150,7
3,200,7
3,250,7
3,300,7
3,350,7
3,400,7
3,450,7
3,500,7
3,550,8
3,600,8
3,650,7
3,700,7
3,750,6
3,800,4
3,850,4
3,900,4
3,950,4
3,1000,4
3,1050,3
3,1100,2
3,1150,2
3,1200,2
3,1250,2
3,1300,2
3,1350,2
3,1400,2
3,1450,2
3,1500,2
3,1550,1
3,1600,1
3,1650,1
3,1700,1
3,1750,1
3,1800,1
3,1850,1
3,1900,1
3,1950,1
3,2000,1
3,2050,1
3,2100,1
3,2150,1
3,2200,1
3,2250,1
3,2300,1
3,2350,1
3,2400,1
3,2450,1
3,2500,1
3,2550,1
3,2600,1
3,2650,1
3,2700,1
3,2750,1
3,2800,1
3,2850,1
3,2900,1
3,2950,1
3,3000,1
4,50,11
4,100,11
4,150,12
4,200,9
4,250,8
4,300,9
4,350,8
4,400,7
4,450,6
4,500,6
4,550,5
4,600,5
4,650,5
4,700,5
4,750,5
4,800,4
4,850,3
4,900,3
4,950,4
4,1000,4
4,1050,4
4,1100,3
4,1150,3
4,1200,3
4,1250,2
4,1300,2
4,1350,2
4,1400,2
4,1450,2
4,1500,2
4,1550,2
4,1600,1
4,1650,1
4,1700,1
4,1750,1
4,1800,1
4,1850,1
4,1900,1
4,1950,1
4,2000,1
4,2050,1
4,2100,1
4,2150,1
4,2200,1
4,2250,1
4,2300,1
4,2350,1
4,2400,1
4,2450,1
4,2500,1
4,2550,1
4,2600,1
4,2650,1
4,2700,1
4,2750,1
4,2800,1
4,2850,1
4,2900,1
4,2950,1
4,3000,1
5,50,9
5,100,9
5,150,10
5,200,9
5,250,9
5,300,8
5,350,7
5,400,6
5,450,6
5,500,6
5,550,6
5,600,5
5,650,5
5,700,5
5,750,5
5,800,5
5,850,4
5,900,4
5,950,4
5,1000,5
5,1050,3
5,1100,3
5,1150,3
5,1200,2
5,1250,1
5,1300,1
5,1350,1
5,1400,1
5,1450,1
5,1500,1
5,1550,1
5,1600,1
5,1650,1
5,1700,1
5,1750,1
5,1800,1
5,1850,1
5,1900,1
5,1950,1
5,2000,1
5,2050,1
5,2100,1
5,2150,1
5,2200,1
5,2250,1
5,2300,1
5,2350,1
5,2400,1
5,2450,1
5,2500,1
5,2550,1
5,2600,1
5,2650,1
5,2700,1
5,2750,1
5,2800,1
5,2850,1
5,2900,1
5,2950,1
5,3000,1
6,50,8
6,100,8
6,150,7
6,200,6
6,250,6
6,300,7
6,350,6
6,400,6
6,450,6
6,500,6
6,550,7
6,600,5
6,650,5
6,700,5
6,750,5
6,800,5
6,850,5
6,900,4
6,950,4
6,1000,4
6,1050,3
6,1100,3
6,1150,2
6,1200,2
6,1250,2
6,1300,2
6,1350,2
6,1400,2
6,1450,2
6,1500,2
6,1550,2
6,1600,2
6,1650,2
6,1700,2
6,1750,2
6,1800,2
6,1850,2
6,1900,2
6,1950,2
6,2000,2
6,2050,2
6,2100,2
6,2150,2
6,2200,1
6,2250,1
6,2300,1
6,2350,1
6,2400,1
6,2450,1
6,2500,1
6,2550,1
6,2600,1
6,2650,1
6,2700,1
6,2750,1
6,2800,1
6,2850,1
6,2900,1
6,2950,1
6,3000,1
7,50,8
7,100,7
7,150,6
7,200,6
7,250,7
7,300,6
7,350,5
7,400,5
7,450,6
7,500,7
7,550,6
7,600,6
7,650,7
7,700,6
7,750,4
7,800,3
7,850,3
7,900,3
7,950,3
7,1000,2
7,1050,2
7,1100,2
7,1150,2
7,1200,2
7,1250,2
7,1300,2
7,1350,2
7,1400,2
7,1450,2
7,1500,2
7,1550,2
7,1600,1
7,1650,1
7,1700,1
7,1750,1
7,1800,1
7,1850,1
7,1900,1
7,1950,1
7,2000,1
7,2050,1
7,2100,1
7,2150,1
7,2200,1
7,2250,1
7,2300,1
7,2350,1
7,2400,1
7,2450,1
7,2500,1
7,2550,1
7,2600,1
7,2650,1
7,2700,1
7,2750,1
7,2800,1
7,2850,1
7,2900,1
7,2950,1
7,3000,1
8,50,9
8,100,9
8,150,8
8,200,7
8,250,8
8,300,9
8,350,7
8,400,6
8,450,7
8,500,4
8,550,4
8,600,4
8,650,4
8,700,3
8,750,3
8,800,2
8,850,2
8,900,2
8,950,2
8,1000,2
8,1050,1
8,1100,1
8,1150,1
8,1200,1
8,1250,1
8,1300,1
8,1350,1
8,1400,1
8,1450,1
8,1500,1
8,1550,1
8,1600,1
8,1650,1
8,1700,1
8,1750,1
8,1800,1
8,1850,1
8,1900,1
8,1950,1
8,2000,1
8,2050,1
8,2100,1
8,2150,1
8,2200,1
8,2250,1
8,2300,1
8,2350,1
8,2400,1
8,2450,1
8,2500,1
8,2550,1
8,2600,1
8,2650,1
8,2700,1
8,2750,1
8,2800,1
8,2850,1
8,2900,1
8,2950,1
8,3000,1
9,50,12
9,100,12
9,150,11
9,200,10
9,250,9
9,300,8
9,350,7
9,400,7
9,450,7
9,500,7
9,550,7
9,600,7
9,650,5
9,700,4
9,750,4
9,800,4
9,850,4
9,900,3
9,950,3
9,1000,2
9,1050,2
9,1100,2
9,1150,2
9,1200,2
9,1250,2
9,1300,1
9,1350,1
9,1400,1
9,1450,1
9,1500,1
9,1550,1
9,1600,1
9,1650,1
9,1700,1
9,1750,1
9,1800,1
9,1850,1
9,1900,1
9,1950,1
9,2000,1
9,2050,1
9,2100,1
9,2150,1
9,2200,1
9,2250,1
9,2300,1
9,2350,1
9,2400,1
9,2450,1
9,2500,1
9,2550,1
9,2600,1
9,2650,1
9,2700,1
9,2750,1
9,2800,1
9,2850,1
9,2900,1
9,2950,1
9,3000,1
10,50,8
10,100,6
10,150,7
10,200,6
10,250,6
10,300,6
10,350,6
10,400,5
10,450,5
10,500,5
10,550,5
10,600,5
10,650,5
10,700,5
10,750,5
10,800,5
10,850,5
10,900,4
10,950,4
10,1000,4
10,1050,4
10,1100,4
10,1150,3
10,1200,3
10,1250,2
10,1300,2
10,1350,2
10,1400,2
10,1450,2
10,1500,2
10,1550,2
10,1600,2
10,1650,2
10,1700,2
10,1750,2
10,1800,2
10,1850,2
10,1900,2
10,1950,2
10,2000,3
10,2050,3
10,2100,3
10,2150,3
10,2200,3
10,2250,3
10,2300,3
10,2350,3
10,2400,3
10,2450,3
10,2500,3
10,2550,3
10,2600,3
10,2650,3
10,2700,3
10,2750,3
10,2800,3
10,2850,3
10,2900,3
10,2950,2
10,3000,2
11,50,11
11,100,12
11,150,11
11,200,10
11,250,11
11,300,9
11,350,9
11,400,7
11,450,6
11,500,6
11,550,5
11,600,4
11,650,4
11,700,2
11,750,3
11,800,3
11,850,2
11,900,2
11,950,3
11,1000,3
11,1050,2
11,1100,2
11,1150,2
11,1200,2
11,1250,2
11,1300,2
11,1350,2
11,1400,2
11,1450,2
11,1500,2
11,1550,1
11,1600,1
11,1650,1
11,1700,1
11,1750,1
11,1800,1
11,1850,1
11,1900,1
11,1950,1
11,2000,1
11,2050,1
11,2100,1
11,2150,1
11,2200,1
11,2250,1
11,2300,1
11,2350,1
11,2400,1
11,2450,1
11,2500,1
11,2550,1
11,2600,1
11,2650,1
11,2700,1
11,2750,1
11,2800,1
11,2850,1
11,2900,1
11,2950,1
11,3000,1
12,50,12
12,100,10
12,150,10
12,200,9
12,250,9
12,300,8
12,350,8
12,400,7
12,450,8
12,500,7
12,550,8
12,600,9
12,650,8
12,700,5
12,750,5
12,800,4
12,850,5
12,900,5
12,950,4
12,1000,4
12,1050,4
12,1100,3
12,1150,3
12,1200,3
12,1250,3
12,1300,2
12,1350,2
12,1400,2
12,1450,2
12,1500,2
12,1550,2
12,1600,2
12,1650,2
12,1700,2
12,1750,2
12,1800,2
12,1850,2
12,1900,2
12,1950,2
12,2000,2
12,2050,2
12,2100,2
12,2150,2
12,2200,2
12,2250,2
12,2300,2
12,2350,2
12,2400,2
12,2450,2
12,2500,1
12,2550,1
12,2600,1
12,2650,1
12,2700,1
12,2750,1
12,2800,1
12,2850,1
12,2900,1
12,2950,1
12,3000,1
13,50,13
13,100,14
13,150,14
13,200,11
13,250,9
13,300,9
13,350,9
13,400,9
13,450,8
13,500,7
13,550,7
13,600,7
13,650,5
13,700,5
13,750,4
13,800,4
13,850,4
13,900,4
13,950,3
13,1000,2
13,1050,2
13,1100,2
13,1150,2
13,1200,2
13,1250,2
13,1300,2
13,1350,2
13,1400,2
13,1450,2
13,1500,1
13,1550,1
13,1600,1
13,1650,1
13,1700,1
13,1750,1
13,1800,1
13,1850,1
13,1900,1
13,1950,1
13,2000,1
13,2050,1
13,2100,1
13,2150,1
13,2200,1
13,2250,1
13,2300,1
13,2350,1
13,2400,1
13,2450,1
13,2500,1
13,2550,1
13,2600,1
13,2650,1
13,2700,1
13,2750,1
13,2800,1
13,2850,1
13,2900,1
13,2950,1
13,3000,1
14,50,12
14,100,13
14,150,12
14,200,11
14,250,10
14,300,10
14,350,9
14,400,9
14,450,8
14,500,7
14,550,7
14,600,7
14,650,5
14,700,5
14,750,4
14,800,5
14,850,5
14,900,4
14,950,4
14,1000,4
14,1050,4
14,1100,4
14,1150,4
14,1200,4
14,1250,3
14,1300,2
14,1350,2
14,1400,2
14,1450,2
14,1500,1
14,1550,1
14,1600,1
14,1650,1
14,1700,1
14,1750,1
14,1800,1
14,1850,1
14,1900,1
14,1950,1
14,2000,1
